case_id,reported_at,missing_person_name,gender,age_band,state,district,language,last_seen_location,reporting_center,reporter_mobile,physical_description,status,resolution_hours,is_duplicate_report,remarks
KMP-2027-01230,2027-09-05 12:03,,Female,61-70,Gujarat,Surat,Gujarati,Ahilyadevi Holkar Bridge,Tapovan Center,+91 9449312271,"black shawl, short grey hair",Reunited,1,False,Possible match flagged for review.
KMP-2027-01569,2027-09-02 06:28,Suresh Joshi,Male,61-70,Maharashtra,Pune,Marathi,Dudhsagar Falls Road,Trimbak Gate Center,+91 9935091357,"white dhoti and kurta, speaks little Hindi",Reunited,5.6,False,Volunteer escorting to help desk.
KMP-2027-01238,2027-09-02 07:59,Tukaram Kumar,Male,61-70,Maharashtra,Nagpur,Marathi,Ramkund,Panchavati Center,+91 9981629097,"cream kurta, walks with a cane",Reunited,6.5,False,Cross-checked at adjacent center.
KMP-2027-01808,2027-09-11 14:19,Kamla Patil,Female,71-80,Uttar Pradesh,Varanasi,Hindi,Mukti Dham,Sadhugram Center,,"blue checked shirt, limps on right leg",Reunited,9.2,False,Volunteer escorting to help desk.
KMP-2027-01668,2027-07-17 05:58,Mangala Deshmukh,Female,71-80,Maharashtra,Jalgaon,Marathi,Trimbakeshwar Temple,Sadhugram Center,+91 9421267819,"red sari with gold border, has a tilak on forehead",Reunited,9.3,False,"Came by group bus, lost the group."
KMP-2027-00886,2027-08-04 12:48,Mahesh Kulkarni,Male,61-70,Tamil Nadu,Madurai,Tamil,Ahilyadevi Holkar Bridge,Trimbak Gate Center,+91 9859374459,"green saree, tulsi mala around neck",Reunited,8.4,False,
KMP-2027-01362,2027-08-19 13:51,Vimal Sawant,Female,71-80,Maharashtra,Aurangabad,Marathi,Mukti Dham,Nashik Road Center,+91 9432912723,"yellow blouse, hard of hearing",Pending,,False,
KMP-2027-01056,2027-08-19 10:55,Mohan Kale,Male,71-80,Gujarat,Rajkot,Gujarati,Kalaram Temple,Tapovan Center,,"blue checked shirt, has a tilak on forehead",Reunited,2.5,False,Phone switched off.
KMP-2027-00832,2027-07-19 08:15,Rukmini Chavan,Female,61-70,Maharashtra,Nagpur,Marathi,Tapovan,Sadhugram Center,+91 9484977527,"grey sweater, has a tilak on forehead",Reunited,9.2,False,Cross-checked at adjacent center.
KMP-2027-00037,2027-07-23 08:11,Aarav Iyer,Male,61-70,Maharashtra,Ahmednagar,Marathi,Tapovan,Trimbak Gate Center,+91 9472026602,,Pending,,True,Possible match flagged for review.
KMP-2027-00607,2027-09-02 08:25,Anjali Verma,Female,0-12,Maharashtra,Nashik,Marathi,Sita Gufa,Panchavati Center,+91 7381264318,"red sari with gold border, speaks little Hindi",Reunited,3.6,False,Volunteer escorting to help desk.
KMP-2027-01080,2027-09-11 07:03,Eknath Bhosale,Male,18-40,Uttar Pradesh,Varanasi,Hindi,CBS Bus Stand,Sadhugram Center,+91 9892131129,"orange saree, walks with a cane",Reunited,4.5,False,Got separated in snan crowd.
KMP-2027-01607,2027-09-03 15:04,Ganpat Kulkarni,Male,61-70,Uttar Pradesh,Varanasi,Hindi,Dudhsagar Falls Road,Sadhugram Center,+91 9838851407,"red sari with gold border, limps on right leg",Reunited,3.3,False,
KMP-2027-00495,2027-09-11 08:49,,Male,61-70,Madhya Pradesh,Indore,Hindi,Nashik Road Railway Station,Nashik Road Center,+91 8861683356,"black shawl, hard of hearing",Reunited,4.6,False,Volunteer escorting to help desk.
KMP-2027-01294,2027-09-02 14:16,Radha Kale,Female,61-70,Uttar Pradesh,Kanpur,Hindi,Ahilyadevi Holkar Bridge,Panchavati Center,+91 7015426873,"yellow blouse, limps on right leg",Reunited,2.9,False,Volunteer escorting to help desk.
KMP-2027-01255,2027-08-19 17:26,Ramesh Joshi,Male,41-60,Uttar Pradesh,Prayagraj,Hindi,Mukti Dham,Tapovan Center,+91 7368096745,"orange saree, short grey hair",Reunited,1.2,False,Cross-checked at adjacent center.
KMP-2027-02205,2027-07-27 23:50,Mangala Kulkarni,Female,61-70,Maharashtra,Jalgaon,Marathi,CBS Bus Stand,Trimbak Gate Center,+91 9464814828,"green saree, tulsi mala around neck",Reunited,8.1,False,Cross-checked at adjacent center.
KMP-2027-00106,2027-08-15 14:51,Ganpat Kulkarni,Male,61-70,Rajasthan,Jodhpur,Hindi,Kalaram Temple,Kushavarta Center,,,Transferred to hospital,1.7,True,Logged at second center; same person suspected.
KMP-2027-01732,2027-09-02 06:04,,Male,71-80,Madhya Pradesh,Ujjain,Hindi,Sita Gufa,Trimbak Gate Center,+91 7370934169,,Pending,,False,Volunteer escorting to help desk.
KMP-2027-00251,2027-09-02 06:22,Indira Gaikwad,Female,18-40,Maharashtra,Jalgaon,Marathi,Gangapur Road Ghat,Kushavarta Center,,"black shawl, silver anklets",Reunited,2.2,False,Cross-checked at adjacent center.
KMP-2027-02466,2027-08-15 09:56,Suresh Kulkarni,Male,61-70,Gujarat,Rajkot,Gujarati,Trimbakeshwar Temple,Tapovan Center,+91 9961205599,"maroon saree, tulsi mala around neck",Reunited,8.3,False,"Family frantic, last dip together."
KMP-2027-02261,2027-08-04 06:52,Sunil Yadav,Male,41-60,Maharashtra,Pune,Marathi,Ramkund,CBS Help Center,+91 9443542034,"blue checked shirt, walks with a cane",Reunited,8.7,False,Announced on PA system.
KMP-2027-02090,2027-07-20 07:18,Bhaskar Bhosale,Male,71-80,Madhya Pradesh,Gwalior,Hindi,Goda Ghat,CBS Help Center,+91 7095660316,"blue checked shirt, has a tilak on forehead",Reunited,6.4,False,"Family frantic, last dip together."
KMP-2027-00461,2027-08-04 16:29,Sunil Jadhav,Male,41-60,Maharashtra,Jalgaon,Marathi,Dudhsagar Falls Road,Panchavati Center,+91 9463242368,"maroon saree, limps on right leg",Pending,,False,
KMP-2027-00064,2027-08-19 11:41,,Male,71-80,Maharashtra,Solapur,Marathi,Nashik Road Railway Station,Ramkund LF Center,+91 9860839353,,Transferred to hospital,2.2,True,Logged at second center; same person suspected.
KMP-2027-01419,2027-08-13 02:56,,Female,18-40,Tamil Nadu,Madurai,Tamil,CBS Bus Stand,Tapovan Center,+91 9052283378,"white dhoti and kurta, hard of hearing",Reunited,7.6,False,Cross-checked at adjacent center.
KMP-2027-02274,2027-08-26 08:53,Prakash Kulkarni,Male,41-60,Maharashtra,Nashik,Marathi,Kalaram Temple,Sadhugram Center,+91 9013468663,"blue checked shirt, hard of hearing",Reunited,8.6,False,Volunteer escorting to help desk.
KMP-2027-00149,2027-09-02 04:00,Mangala Deshmukh,Female,41-60,Uttar Pradesh,Varanasi,Hindi,Nashik Road Railway Station,Trimbak Gate Center,+91 8876614095,,Pending,,True,Possible match flagged for review.
KMP-2027-01144,2027-09-02 06:00,Sarla Verma,Female,71-80,Uttar Pradesh,Prayagraj,Hindi,Nashik Road Railway Station,Kushavarta Center,+91 8854171254,,Pending,,False,Volunteer escorting to help desk.
KMP-2027-02403,2027-09-02 13:10,Sopan Pawar,Male,61-70,Tamil Nadu,Madurai,Tamil,Dudhsagar Falls Road,Ramkund LF Center,+91 9969172372,"grey sweater, has a tilak on forehead",Reunited,2,False,Volunteer escorting to help desk.
KMP-2027-00276,2027-08-19 12:34,Sneha Sawant,Female,61-70,Maharashtra,Jalgaon,Marathi,Mukti Dham,CBS Help Center,+91 9887837631,"grey sweater, tulsi mala around neck",Pending,,False,Announced on PA system.
KMP-2027-02329,2027-09-08 13:54,Vimal Pawar,Female,71-80,Rajasthan,Jodhpur,Hindi,Panchavati,Tapovan Center,+91 9455511588,,Reunited,6.8,False,
KMP-2027-01557,2027-09-02 08:45,Sarla Kale,Female,61-70,Maharashtra,Thane,Marathi,Trimbakeshwar Temple,Trimbak Gate Center,+91 7023520320,"yellow blouse, speaks little Hindi",Reunited,1.2,False,Possible match flagged for review.
